Model,Dice,IoU,Accuracy,Precision,Recall,F1,Inf_Time_s
U-Net++,0.9582 ± 0.00019,0.9316 ± 0.00023,0.9929 ± 0.00002,0.9737 ± 0.00016,0.9447 ± 0.00018,0.9582 ± 0.00019,262
SegNet,0.9521 ± 0.00020,0.9178 ± 0.00025,0.9913 ± 0.00001,0.9666 ± 0.00017,0.9402 ± 0.00019,0.9521 ± 0.00020,173
Swin-UNet,0.9467 ± 0.00021,0.9103 ± 0.00026,0.9907 ± 0.00002,0.9428 ± 0.00016,0.9524 ± 0.00018,0.9467 ± 0.00021,208
TransUNet,0.9579 ± 0.00019,0.9260 ± 0.00023,0.9929 ± 0.00002,0.9618 ± 0.00016,0.9554 ± 0.00018,0.9579 ± 0.00019,164
Attention U-Net,0.9604 ± 0.00018,0.9361 ± 0.00022,0.9934 ± 0.00002,0.9615 ± 0.00017,0.9609 ± 0.00018,0.9604 ± 0.00018,166
DeepLabV3,0.9571 ± 0.00019,0.9302 ± 0.00023,0.9928 ± 0.00003,0.9596 ± 0.00016,0.9568 ± 0.00018,0.9571 ± 0.00019,184
DeepLabV3+,0.9551 ± 0.00019,0.9271 ± 0.00023,0.9925 ± 0.00002,0.9710 ± 0.00016,0.9426 ± 0.00020,0.9551 ± 0.00019,239
RefineNet,0.9665 ± 0.00016,0.9437 ± 0.00021,0.9938 ± 0.00001,0.9765 ± 0.00015,0.9576 ± 0.00018,0.9665 ± 0.00016,286
