,area,perimeter,eccentricity,solidity,extent,equivalent_diameter,major_axis_length,minor_axis_length,circularity
count,7877.0,7877.0,7877.0,7877.0,7877.0,7877.0,7877.0,7877.0,7877.0
mean,252394.7919258601,2047.7955655286496,0.38729777693138473,0.9462287033609521,0.7250028498069304,527.9214402372457,557.7240034663705,507.32551989321104,0.690917589447215
std,187915.5526026283,818.7967215150135,0.14277588704738514,0.04951424910464838,0.05929277863380541,206.55120213154635,214.1764171685521,202.15196139864986,0.17405755010557594
min,1500.0,155.1543289325507,0.023427468475676973,0.6629604351264158,0.4353755077092945,43.70193722368317,52.46527298799467,38.00058043067815,0.04347855821835824
25%,115515.0,1492.052957317385,0.2871212735772358,0.9238789778206364,0.6948567699836868,383.5078434792205,408.1600420480413,365.1529663360826,0.5790692130369144
50%,226095.0,2044.6530291048848,0.3685306477035482,0.9677353114813009,0.743703355917213,536.5380646952242,565.4699245478223,515.0747936033013,0.7608875299204267
75%,332737.0,2522.31197539543,0.47786623786153615,0.9809619238476954,0.7679317379125563,650.8870150775355,690.0896776718121,623.1448514068308,0.8260313591268783
max,1211837.0,8414.741012713925,0.9048507631057969,0.9953789192482542,0.8525981996726678,1242.1589230743486,1278.9908480884196,1213.0914192188277,0.9041004285242611
